순위,티커,종목명,섹터,현재가,PEG,Forward_PE,이익성장률(%),시가총액
370,PLTR,Palantir Technologies Inc.,Technology,146.39,2.82,78.5995,647.6,350117396480
371,CTAS,Cintas Corporation,Industrials,179.17,2.82,33.02752,9.700000000000001,71683604480
372,UNP,Union Pacific Corporation,Industrials,251.14,2.83,18.48481,6.800000000000001,149096366080
373,AEE,Ameren Corporation,Utilities,112.71,2.86,19.469347,19.5,31181584384
374,DVN,Devon Energy Corporation,Energy,44.23,2.87,8.533421,-8.5,27486961664
375,AEP,American Electric Power Company,Utilities,133.66,2.89,19.467932,-12.6,72652693504
376,AME,"AMETEK, Inc.",Industrials,236.26,2.89,27.09935,3.5999999999999996,54118993920
377,CB,Chubb Limited,Financial Services,330.83,2.89,11.361193,27.900000000000002,129388011520
378,SHW,Sherwin-Williams Company (The),Basic Materials,345.55,2.89,25.876663,1.4000000000000001,85618565120
379,EXC,Exelon Corporation,Utilities,47.02,2.9,15.464715,-9.3,48109694976
380,SNPS,"Synopsys, Inc.",Technology,449.58,2.91,26.369146,-82.0,86122455040
381,ETN,"Eaton Corporation, PLC",Industrials,406.21,2.91,26.213692,18.9,157771956224
382,ODFL,"Old Dominion Freight Line, Inc.",Industrials,217.76,2.94,35.81143,-10.5,45533274112
383,VRSN,"VeriSign, Inc.",Technology,274.05,2.94,26.761492,11.799999999999999,25130383360
384,CHD,"Church & Dwight Company, Inc.",Consumer Defensive,96.88,2.95,24.19091,-20.8,22948458496
385,DIS,Walt Disney Company (The),Communication Services,106.29,2.95,14.48,-4.3,188493299712
386,VMC,Vulcan Materials Company (Holdi,Basic Materials,291.71,2.98,27.202642,-13.8,38091603968
387,RSG,"Republic Services, Inc.",Industrials,207.66,3.02,25.81622,7.3999999999999995,64157843456
388,CMS,CMS Energy Corporation,Utilities,77.75,3.02,18.623425,6.6000000000000005,23946739712
389,TDG,Transdigm Group Incorporated,Industrials,1265.88,3.03,27.54425,-12.9,71488757760
390,JNJ,Johnson & Johnson,Healthcare,234.18,3.06,18.440487,-52.900000000000006,564350156800
391,NWSA,News Corporation,Communication Services,26.01,3.07,20.77277,-9.9,14987316224
392,HD,"Home Depot, Inc. (The)",Consumer Cyclical,349.4,3.08,21.430508,-14.2,348012052480
393,PNW,Pinnacle West Capital Corporati,Utilities,104.04,3.09,18.636244,N/A,12591508480
394,MLM,"Martin Marietta Materials, Inc.",Basic Materials,622.02,3.13,26.676401,-4.1000000000000005,37515300864
395,ROST,"Ross Stores, Inc.",Consumer Cyclical,227.82,3.23,28.169502,11.799999999999999,73687228416
396,FAST,Fastenal Company,Industrials,45.78,3.23,33.58201,13.8,52570480640
397,ARE,Alexandria Real Estate Equities,Real Estate,48.63,3.24,-607.875,N/A,8427597312
398,BKR,Baker Hughes Company,Energy,59.78,3.28,21.342453,-25.6,59287252992
399,LEN,Lennar Corporation,Consumer Cyclical,92.79,3.28,12.188939,-52.6,22854019072
400,WST,"West Pharmaceutical Services, I",Healthcare,273.73,3.29,30.78638,2.1,19730898944
401,TJX,"TJX Companies, Inc. (The)",Consumer Cyclical,160.68,3.29,28.357979,27.900000000000002,178429837312
402,VLTO,Veralto Corp,Industrials,90.98,3.37,19.937807,12.2,22548789248
403,KIM,Kimco Realty Corporation (HC),Real Estate,24.19,3.37,28.32553,-6.800000000000001,16313814016
404,EIX,Edison International,Utilities,70.75,3.39,10.856722,446.3,27232096256
405,CRWD,"CrowdStrike Holdings, Inc.",Technology,423.95,3.45,68.65632,N/A,107519696896
406,GRMN,Garmin Ltd.,Technology,267.42,3.47,26.219421,21.2,51473227776
407,TGT,Target Corporation,Consumer Defensive,127.84,3.52,15.012746,-5.0,57893056512
408,NWS,News Corporation,Communication Services,29.96,3.53,23.927418,-9.9,16439382016
409,MRK,"Merck & Company, Inc.",Healthcare,119.07,3.53,12.21133,-19.3,294387712000
410,GM,General Motors Company,Consumer Cyclical,81.32,3.55,5.8629165,N/A,75860279296
411,EMN,Eastman Chemical Company,Basic Materials,73.78,3.58,10.803228,-67.5,8436736512
412,FRT,Federal Realty Investment Trust,Real Estate,112.53,3.59,35.36455,98.7,9780817920
413,BIIB,Biogen Inc.,Healthcare,177.35,3.65,11.170858,N/A,26027626496
414,CSX,CSX Corporation,Industrials,43.32,3.65,20.697268,-0.4,80574898176
415,WELL,Welltower Inc.,Real Estate,210.52,3.66,63.987843,-26.3,148317765632
416,CEG,Constellation Energy Corporatio,Utilities,296.21,3.74,21.56119,-48.9,107315298304
417,KMI,"Kinder Morgan, Inc.",Energy,32.02,3.74,21.829388,49.3,71238705152
418,SYF,Synchrony Financial,Financial Services,78.34,3.74,7.5596013,7.8,28215803904
419,EXPD,Expeditors International of Was,Industrials,147.3,3.78,22.781404,-11.5,19665092608
420,GEV,GE Vernova Inc.,Industrials,1002.75,3.8,43.859207,671.6999999999999,270270676992
421,KO,Coca-Cola Company (The),Consumer Defensive,75.74,3.87,21.933596,3.5999999999999996,325996544000
422,TRMB,Trimble Inc.,Technology,69.29,3.88,17.13729,80.5,16208968704
423,PH,Parker-Hannifin Corporation,Industrials,988.8,3.88,29.059875,-9.0,124802899968
424,PG,Procter & Gamble Company (The),Consumer Defensive,146.93,3.9,20.275492,-5.4,343336222720
425,CBOE,"Cboe Global Markets, Inc.",Financial Services,299.94,3.9,22.705078,60.5,31416397824
426,IDXX,"IDEXX Laboratories, Inc.",Healthcare,589.25,3.96,35.915928,17.9,46918459392
427,CPRT,"Copart, Inc.",Industrials,33.45,4.05,19.911545,-10.0,32380190720
428,ROL,"Rollins, Inc.",Consumer Cyclical,55.0,4.06,39.367542,9.9,26509385728
429,VLO,Valero Energy Corporation,Energy,223.65,4.08,12.95908,317.9,66877214720
430,NSC,Norfolk Southern Corporation,Industrials,302.38,4.18,22.585392,-11.4,67906093056
431,DOC,"Healthpeak Properties, Inc.",Real Estate,17.37,4.32,86.850006,2448.4,12076608512
432,TAP,Molson Coors Beverage Company,Consumer Defensive,44.59,4.38,8.900289,-12.5,8395641856
433,PSA,Public Storage,Real Estate,309.22,4.39,29.516907,-19.3,54281183232
434,FCX,"Freeport-McMoRan, Inc.",Basic Materials,70.21,4.44,17.464478,47.699999999999996,100905926656
435,UBER,"Uber Technologies, Inc.",Technology,77.12,4.51,17.972166,-95.6,158721916928
436,CZR,"Caesars Entertainment, Inc.",Consumer Cyclical,27.22,4.51,23.215351,N/A,5555817984
437,SPG,"Simon Property Group, Inc.",Real Estate,206.23,4.58,29.834358,358.1,78499995648
438,WMT,Walmart Inc.,Consumer Defensive,127.5,4.68,38.844,-19.0,1016481316864
439,BF-B,Brown Forman Inc,Consumer Defensive,29.15,4.79,17.1517,1.3,13371209728
440,EQIX,"Equinix, Inc.",Real Estate,1088.62,4.83,61.790985,N/A,107363500032
441,NVR,"NVR, Inc.",Consumer Cyclical,7000.92,4.97,15.676531,-13.100000000000001,19558889472
442,SBAC,SBA Communications Corporation,Real Estate,223.14,4.99,27.970222,115.6,23666765824
443,NOC,Northrop Grumman Corporation,Industrials,665.26,5.1,22.038992,15.2,94488977408
444,CME,CME Group Inc.,Financial Services,287.65,5.13,22.186434,35.0,104361746432
445,NUE,Nucor Corporation,Basic Materials,195.87,5.21,13.945649,34.2,44614209536
446,GE,GE Aerospace,Industrials,304.13,5.24,35.25928,37.4,320800555008
447,COST,Costco Wholesale Corporation,Consumer Defensive,999.89,5.46,44.49063,45.5,443820572672
448,STZ,"Constellation Brands, Inc.",Consumer Defensive,162.28,5.46,12.987792,N/A,28251953152
449,O,Realty Income Corporation,Real Estate,65.09,5.68,35.793823,41.199999999999996,60693209088
450,CF,"CF Industries Holdings, Inc.",Basic Materials,112.68,5.77,12.800429,37.1,17315401728
451,TSLA,"Tesla, Inc.",Consumer Cyclical,400.62,5.87,145.4885,-60.6,1503299239936
452,EXR,Extra Space Storage Inc,Real Estate,145.36,6.12,30.133793,15.8,32070821888
453,APD,"Air Products and Chemicals, Inc",Basic Materials,291.81,6.41,20.73797,9.700000000000001,64973246464
454,UAL,"United Airlines Holdings, Inc.",Industrials,101.8,6.5,7.085061,8.1,33049307136
455,ESS,"Essex Property Trust, Inc.",Real Estate,254.97,7.02,41.75038,-68.7,17629028352
456,MAA,Mid-America Apartment Communiti,Real Estate,127.94,7.03,32.88946,-65.8,15332695040
457,AVB,"AvalonBay Communities, Inc.",Real Estate,173.89,7.17,35.182243,-40.9,24359114752
458,TPL,Texas Pacific Land Corporation,Energy,422.58,7.33,5.7792664,4.3,29133320192
459,LYV,"Live Nation Entertainment, Inc.",Communication Services,156.56,8.06,70.149025,N/A,36760588288
460,UDR,"UDR, Inc.",Real Estate,35.28,8.17,64.145454,N/A,13282533376
461,F,Ford Motor Company,Consumer Cyclical,12.87,8.48,6.9700565,N/A,51622629376
462,CPT,Camden Property Trust,Real Estate,103.4,9.17,60.908802,287.59999999999997,10828721152
463,BRK-B,Berkshire Hathaway Inc. New,Financial Services,474.58,10.06,21.817814,-2.5,1023607767040
464,WRB,W.R. Berkley Corporation,Financial Services,66.83,10.19,13.844781,-21.8,25396815872
465,CAG,"ConAgra Brands, Inc.",Consumer Defensive,14.86,10.86,8.702782,39.0,7109575680
466,GIS,"General Mills, Inc.",Consumer Defensive,35.5,11.74,10.801962,-14.499999999999998,18945683456
467,TROW,"T. Rowe Price Group, Inc.",Financial Services,96.98,11.88,10.144415,3.5999999999999996,21148710912
468,HAL,Halliburton Company,Energy,37.15,11.91,13.596554,-0.5,31114921984
469,STLD,"Steel Dynamics, Inc.",Basic Materials,200.32,11.95,12.443783,34.699999999999996,29022842880
470,INVH,Invitation Homes Inc.,Real Estate,27.03,13.14,38.169342,2.4,16471706624
471,PFE,"Pfizer, Inc.",Healthcare,27.56,13.77,9.790547,N/A,156771090432
472,BA,Boeing Company (The),Industrials,223.38,13.82,51.08468,N/A,175541878784
473,FOXA,Fox Corporation,Communication Services,65.07,14.94,12.614401,-35.8,27680522240
474,OMC,Omnicom Group Inc.,Communication Services,78.67,15.97,6.326818,N/A,24414160896
475,EQR,Equity Residential,Real Estate,62.68,16.1,42.014103,-8.799999999999999,24395741184
476,DLR,"Digital Realty Trust, Inc.",Real Estate,203.62,18.59,62.9082,-53.400000000000006,71227179008
477,BMY,Bristol-Myers Squibb Company,Healthcare,60.17,24.07,9.811723,1392.1,122851213312
478,PGR,Progressive Corporation (The),Financial Services,202.58,31.18,12.56325,9.8,118501769216
479,BAX,Baxter International Inc.,Healthcare,18.71,36.68,9.239642,N/A,9659083776
480,DOW,Dow Inc.,Basic Materials,35.6,38.89,22.944057,N/A,25618448384
481,CTRA,Coterra Energy Inc.,Energy,30.89,44.67,10.20779,20.599999999999998,23456403456
482,FANG,"Diamondback Energy, Inc.",Energy,180.27,49.91,11.08168,N/A,50712068096
483,PLD,"Prologis, Inc.",Real Estate,145.1,110.98,44.191326,65.2,135266672640
484,CMCSA,Comcast Corporation,Communication Services,29.63,142.98,7.72542,-52.5,107968593920
485,WBD,"Warner Bros. Discovery, Inc. - ",Communication Services,27.47,216.92,-1647.8704,N/A,68860928000
